hanja,kor,link
買,살 매:,https://namu.wiki/w/%E8%B2%B7
賣,팔 매(:)[50],https://namu.wiki/w/%E8%B3%A3
無,없을 무,https://namu.wiki/w/%E7%84%A1
倍,곱 배(:)[51],https://namu.wiki/w/%E5%80%8D
比,견줄 비:,https://namu.wiki/w/%E6%AF%94
費,쓸 비:,https://namu.wiki/w/%E8%B2%BB
鼻,코 비:,https://namu.wiki/w/%E9%BC%BB
氷,얼음 빙,https://namu.wiki/w/%E6%B0%B7
寫,베낄 사,https://namu.wiki/w/%E5%AF%AB
思,생각 사(:)[52],https://namu.wiki/w/%E6%80%9D
査,조사할 사,https://namu.wiki/w/%E6%9F%BB
賞,상줄 상,https://namu.wiki/w/%E8%B3%9E
序,차례 서:,https://namu.wiki/w/%E5%BA%8F
善,착할 선:,https://namu.wiki/w/%E5%96%84
選,가릴 선:,https://namu.wiki/w/%E9%81%B8
船,배 선,https://namu.wiki/w/%E8%88%B9
示,보일 시:,https://namu.wiki/w/%E7%A4%BA
案,책상 안:,https://namu.wiki/w/%E6%A1%88
漁,고기잡을 어,https://namu.wiki/w/%E6%BC%81
魚,고기/물고기 어,https://namu.wiki/w/%E9%AD%9A
億,억 억,https://namu.wiki/w/%E5%84%84
熱,더울 열,https://namu.wiki/w/%E7%86%B1
葉,잎 엽,https://namu.wiki/w/%E8%91%89
屋,집 옥,https://namu.wiki/w/%E5%B1%8B
完,완전할 완,https://namu.wiki/w/%E5%AE%8C
曜,빛날 요:,https://namu.wiki/w/%E6%9B%9C
浴,목욕할 욕,https://namu.wiki/w/%E6%B5%B4
牛,소 우,https://namu.wiki/w/%E7%89%9B
雄,수컷 웅,https://namu.wiki/w/%E9%9B%84
原,언덕 원,https://namu.wiki/w/%E5%8E%9F
院,집 원,https://namu.wiki/w/%E9%99%A2
願,원할 원:,https://namu.wiki/w/%E9%A1%98
位,자리 위,https://namu.wiki/w/%E4%BD%8D
耳,귀 이:,https://namu.wiki/w/%E8%80%B3
因,인할 인,https://namu.wiki/w/%E5%9B%A0
災,재앙 재,https://namu.wiki/w/%E7%81%BD
再,두 재:,https://namu.wiki/w/%E5%86%8D
爭,다툴 쟁,https://namu.wiki/w/%E7%88%AD
貯,쌓을 저:,https://namu.wiki/w/%E8%B2%AF
赤,붉을 적,https://namu.wiki/w/%E8%B5%A4
停,머물 정,https://namu.wiki/w/%E5%81%9C
操,잡을 조(:)[53],https://namu.wiki/w/%E6%93%8D
