hanja,kor,radical,total_num_of_strokes,level
手,손 수,手,4획,준7급
時,때 시,日,10획,준7급
市,저자 시,巾,5획,준7급
食,밥/먹을 식,食,9획,준7급
安,편안 안,宀,6획,준7급
午,낮 오,十,4획,준7급
右,오를/오른(쪽) 우,口,5획,준7급
子,아들 자,子,3획,준7급
自,스스로 자,自,6획,준7급
場,마당 장,土,12획,준7급
電,번개 전,雨,13획,준7급
前,앞 전,刀,9획,준7급
全,온전할 전,入,6획,준7급
正,바를 정,止,5획,준7급
足,발 족 / 족할 족,足,7획,준7급
左,왼 좌,工,5획,준7급
直,곧을 직,目,8획,준7급
平,평평할 평,干,5획,준7급
下,아래 하,一,3획,준7급
漢,한수/한나라 한,水,14획,준7급
海,바다 해,水,10획,준7급
話,말씀 화,言,13획,준7급
活,살 활,水,9획,준7급
孝,효도 효,子,7획,준7급
後,뒤 후,彳,9획,준7급
歌,노래 가,欠,14획,7급
口,입 구,口,3획,7급
旗,기 기,方,14획,7급
同,한가지 동,口,6획,7급
洞,"골 동, 밝을 통",水,9획,7급
冬,겨울 동,冫,5획,7급
登,오를 등,癶,12획,7급
